jahr,kategorie,zahlungspflichtiger,betrag_mrd_euro,notiz
2055,versorgungsdienststellen,Versorgungsdienststellen,2.827,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2056,kindererziehungszeiten,Bund,41.167,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2056,pflegezeiten,Pflegeversicherung,12.109,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2056,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.221,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2056,versorgungsdienststellen,Versorgungsdienststellen,2.898,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2057,kindererziehungszeiten,Bund,42.196,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2057,pflegezeiten,Pflegeversicherung,12.412,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2057,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.527,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2057,versorgungsdienststellen,Versorgungsdienststellen,2.970,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2058,kindererziehungszeiten,Bund,43.251,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2058,pflegezeiten,Pflegeversicherung,12.722,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2058,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,12.840,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2058,versorgungsdienststellen,Versorgungsdienststellen,3.044,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2059,kindererziehungszeiten,Bund,44.332,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2059,pflegezeiten,Pflegeversicherung,13.040,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2059,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.161,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2059,versorgungsdienststellen,Versorgungsdienststellen,3.121,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2060,kindererziehungszeiten,Bund,45.441,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2060,pflegezeiten,Pflegeversicherung,13.366,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2060,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.490,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2060,versorgungsdienststellen,Versorgungsdienststellen,3.199,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2061,kindererziehungszeiten,Bund,46.577,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2061,pflegezeiten,Pflegeversicherung,13.700,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2061,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.827,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2061,versorgungsdienststellen,Versorgungsdienststellen,3.279,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
2062,kindererziehungszeiten,Bund,47.741,"677.117 Geburten 2024 x 3 Jahre x Durchschnittsentgelt 2026 x 18,6 %"
2062,pflegezeiten,Pflegeversicherung,14.043,"1,1 Mio. Pflegepersonen x mittlere BMG-Bemessungsspanne 2026 x 18,6 %"
2062,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.173,DRV-Rechnungsergebnisse 2025: Pflichtbeitraege fuer BA-Leistungsempfaenger
2062,versorgungsdienststellen,Versorgungsdienststellen,3.361,DRV-Rechnungsergebnisse 2025: Erstattungen von Versorgungsdienststellen
